,X,Y,Region,disto_boundary,Sample
1,24.16582015,50.06026097,R2,7.641816901,K059
2,23.78604408,77.39781996,R3,9.81926839,K059
3,16.87192649,95.17246051,R4,4.47513904,K059
4,12.1507493,141.6148521,R5,10.50391872,K059
5,24.99409956,113.4960768,R6,8.621157279,K059
6,36.87696696,134.7438242,R7,22.76563149,K059
7,42.22919947,152.7986811,R8,7.70331501,K059
8,75.65211928,131.6055925,R9,7.930085722,K059
9,78.98963896,87.28487277,R10,24.77264364,K059
10,92.62837222,66.06791574,R11,14.30317551,K059
11,102.8963805,32.10684528,R12,5.065037236,K059
12,93.58916398,17.23222867,R13,7.669375559,K059
13,16.75264271,18.5392636,R1,7.434201859,K065
14,17.34460888,32.66351288,R2,6.748170049,K065
15,23.26427061,39.86352785,R3,9.655467899,K065
16,29.30232558,41.27954312,R4,5.44038835,K065
17,26.46088795,51.70261558,R5,4.333349665,K065
18,41.61522199,38.0586185,R6,3.6288442,K065
19,41.73361522,33.41798163,R7,7.803282976,K065
20,44.69344609,9.543652828,R8,4.932971222,K065
21,43.08885656,22.01603298,R1,11.17119837,K105
22,15.7027574,22.01603298,R2,8.3176103,K105
23,39.61737921,49.03316537,R3,7.105574048,K105
24,12.61699975,53.6209803,R4,6.467741948,K105
25,33.18936877,13.34482759,R6,11.10158015,K107
26,63.68770764,33.20689655,R7,14.64255944,K107
27,70.56478405,64.24137931,R8,17.79229439,K107
28,23.02325581,48.72413793,R9,20.60731043,K107
29,44.55149502,85.65517241,R10,30.74563027,K107
30,23.92026578,109.2413793,R11,19.57958789,K107
31,105.7587746,86.75129106,R1,11.19147778,K110
32,97.474475,58.52717815,R2,13.46312731,K110
33,94.0922609,23.73931806,R3,14.51669942,K110
34,68.97223358,15.42523829,R4,15.47522111,K110
35,29.99394917,32.05339783,R5,17.80802796,K110
36,19.11440505,60.27751073,R6,19.49013621,K110
37,28.45264747,103.5982422,R7,23.32271293,K110
38,46.11059608,125.2586079,R8,18.21007646,K110
39,67.18725244,130.2908141,R9,18.59216324,K110
40,24.38675915,132.0411467,R10,3.707276201,K110
41,16.29585799,26.51515152,R1,7.675460527,K114_L
42,28.66863905,17.92929293,R2,5.171933047,K114_L
43,16.89940828,9.292929293,R3,8.595597403,K114_L
44,6.588757396,17.92929293,R4,5.235000813,K114_L
45,8.58593427,15.0353442,R1,6.609018913,K114_R
46,19.53363993,17.39898787,R2,6.536976874,K114_R
47,10.59301364,6.870029721,R3,4.143591907,K114_R
48,22.63548987,7.944413206,R4,3.773439662,K114_R
49,30.76803064,105.3049212,R1,10.40827362,K118
50,42.15020211,71.71616982,R2,3.810440758,K118
51,31.67860435,56.32132541,R3,12.6301213,K118
52,13.46712999,78.01406071,R4,12.80347266,K118
53,31.67860435,23.43233964,R5,13.89656305,K118
54,6.829268293,6.092942705,R57,3.124557595,K124_3
55,16.00609756,7.69638476,R58,4.7542592,K124_3
56,24.54268293,8.848066099,R59,3.921298661,K124_3
57,3.841463415,13.95316785,R60,3.176804322,K124_3
58,15.36585366,14.43989032,R61,11.43603542,K124_3
59,23.04878049,18.28705441,R62,10.09441196,K124_3
60,29.66463415,21.68108674,R63,2.786474882,K124_3
61,5.975609756,20.25588108,R64,4.3269173,K124_3
62,11.09756098,22.52085438,R65,7.409286495,K124_3
63,18.1402439,24.11744119,R66,8.432822568,K124_3
64,25.18292683,26.38858421,R67,4.300281361,K124_3
65,14.08536585,29.27601385,R68,5.610573653,K124_3
66,21.34146341,28.39991341,R69,3.549251473,K124_3
67,33.62480127,9.063829787,R1,7.557831931,K136
68,15.38155803,20.55319149,R2,9.610107918,K136
69,7.988871224,40.72340426,R3,7.510679276,K136
70,21.22416534,56.80851064,R4,7.513445814,K136
71,53.29888712,67.40425532,R5,7.364289008,K136
72,67.36883943,46.59574468,R6,6.875252006,K136
73,68.68044515,31.14893617,R7,4.912993829,K136
74,63.43402226,15.57446809,R8,6.933704893,K136
75,38.99046105,38.42553191,R9,32.91394836,K136
76,27.46730083,82.99207203,R48,4.280245691,K153
77,33.29369798,82.84743458,R49,6.036131043,K153
78,33.8882283,78.19969718,R50,7.838456516,K153
79,27.2294887,77.93544945,R51,5.755669623,K153
80,37.93103448,70.13039039,R52,5.453151944,K153
81,29.84542212,70.41478986,R53,11.33378738,K153
82,32.69916766,65.62729043,R54,11.50457528,K153
83,36.74197384,53.5944301,R55,8.90358034,K153
84,36.14744352,49.35834062,R56,5.80690265,K153
85,40.42806183,50.85590698,R57,4.625127395,K153
86,43.40071344,57.41220859,R58,6.042235112,K153
87,20.9274673,27.37458661,R59,13.00825794,K153
88,7.705977383,61.62748644,R1,4.435065243,K163
89,9.15993538,49.04159132,R2,8.481210163,K163
90,11.92245557,39.20433996,R3,8.025150457,K163
91,17.15670436,28.49909584,R4,6.929828638,K163
92,24.28109855,22.7124774,R5,6.331773149,K163
93,31.40549273,13.0198915,R6,2.946697328,K163
94,14.68497577,66.54611212,R7,6.580472933,K163
95,16.57512116,57.72151899,R8,13.66860474,K163
96,24.28109855,46.72694394,R9,22.34883326,K163
97,27.04361874,35.58770344,R10,17.65455548,K163
98,31.98707593,26.61844485,R11,13.69594837,K163
99,38.23909532,14.61121157,R12,8.307331888,K163
100,23.11793215,69.72875226,R13,6.379969956,K163
101,26.89822294,58.15551537,R14,18.18589478,K163
102,31.26009693,49.04159132,R15,27.52803009,K163
103,36.78513732,38.19168174,R16,25.88675823,K163
104,42.31017771,29.51175407,R17,22.57119927,K163
105,48.70759289,21.69981917,R18,19.79298296,K163
106,53.94184168,14.03254973,R19,11.32614508,K163
107,32.56865913,71.46473779,R20,6.271514358,K163
108,36.20355412,62.64014467,R21,13.49561287,K163
109,41.58319871,53.52622061,R22,19.61444269,K163
110,49.43457189,43.5443038,R23,22.50240372,K163
111,55.68659128,34.43037975,R24,26.61633159,K163
112,60.77544426,24.73779385,R25,19.80777817,K163
113,67.89983845,15.47920434,R26,8.187830097,K163
114,45.9450727,66.9801085,R27,5.56356175,K163
115,51.03392569,59.31283906,R28,10.43893189,K163
116,58.30371567,50.48824593,R29,11.46258168,K163
117,63.97415186,41.37432188,R30,17.34794119,K163
118,71.24394184,33.27305606,R31,15.57098196,K163
119,77.78675283,23.58047016,R32,5.266039493,K163
120,71.09854604,50.63291139,R33,7.691246959,K163
121,77.78675283,41.08499096,R34,8.903065528,K163
122,83.45718901,34.43037975,R35,5.798245928,K163
123,29.50202568,114.3356643,R1,7.901435366,K165
124,37.61511753,116.5734266,R2,12.34456741,K165
125,50.48255134,117.1328671,R3,9.974162947,K165
126,29.63661943,104.5454545,R4,4.965443894,K165
127,39.42825867,107.2027972,R5,14.3368299,K165
128,51.03747785,108.7412587,R6,16.89347662,K165
129,51.45134048,98.11188811,R7,20.04075989,K165
130,67.95604073,100.3496503,R8,3.38616912,K165
131,32.56819028,94.33566434,R9,2.641239363,K165
132,24.44817689,79.23076923,R10,4.491333942,K165
133,36.89587981,79.51048951,R11,8.320705745,K165
134,52.70030131,79.93006993,R12,21.22364087,K165
135,68.08544334,80.90909091,R13,15.94330286,K165
136,28.35824208,68.04195804,R14,6.583408536,K165
137,47.37515846,60.48951049,R15,20.25627482,K165
138,55.91242002,71.25874126,R16,24.96110586,K165
139,71.57382155,65.8041958,R17,10.10909063,K165
140,80.9457299,68.18181818,R18,6.966448593,K165
141,18.97858462,51.25874126,R19,6.624100197,K165
142,25.40530475,38.53146853,R20,12.00580452,K165
143,31.55230461,25.8041958,R21,5.104066438,K165
144,48.76420513,42.72727273,R22,27.84866223,K165
145,65.69442929,56.01398601,R23,9.123188797,K165
146,45.67667405,23.00699301,R24,13.09878879,K165
147,70.16077521,38.95104895,R25,12.22901903,K165
148,62.59659114,17.13286713,R26,10.66798047,K165
149,23.32317073,108.1674473,R1,10.23068323,K169
150,37.04268293,119.7306792,R2,4.316767264,K169
151,9.298780488,96.31147541,R3,7.257054578,K169
152,10.97560976,81.82084309,R4,6.584677255,K169
153,25.30487805,62.20725995,R5,18.27526911,K169
154,35.51829268,40.39812646,R6,19.95069818,K169
155,50.30487805,14.78337237,R7,12.34942063,K169
156,66.76829268,23.85831382,R8,16.95682668,K169
157,65.39634146,38.34894614,R9,26.44679003,K169
158,83.53658537,38.05620609,R10,10.51412607,K169
159,89.17682927,54.88875878,R11,14.10830398,K169
160,51.37195122,76.8442623,R12,39.06080575,K169
161,55.0304878,101.8735363,R15,13.89204982,K169
162,83.07926829,110.3629977,R16,8.773248449,K169
163,108.0792683,94.84777518,R17,9.182305258,K169
164,9.718776969,72.87991498,R1,4.583082954,K180
165,4.613897824,67.23698193,R2,2.807367682,K180
166,6.086485176,61.97662062,R3,3.984450388,K180
167,16.16579535,78.33156217,R4,5.018879138,K180
168,15.35628954,72.78427205,R5,8.586132443,K180
169,15.62060923,67.23698193,R6,12.58013682,K180
