"","Centrality","wgii"
"1","Tumour centre",0.240598336
"2","Tumour centre",0.252582193
"3","Tumour margin",0.274997864
"4","Tumour margin",0.246268056
"5","Tumour margin",0.238280085
"6","Tumour margin",0.249629091
"7","Tumour centre",0.238295777
"8","Tumour margin",0.246791599
"9","Tumour margin",0.238875082
"10","Tumour margin",0.242648592
"11","Tumour margin",0.081853435
"12","Tumour margin",0.081853435
"13","Tumour margin",0.08241213
"14","Tumour margin",0.081853435
"15","Tumour margin",0.081853435
"16","Tumour margin",0.081853435
"17","Tumour margin",0.081853435
"18","Tumour margin",0.081847974
"19","Tumour centre",0.138034178
"20","Tumour margin",0.158335301
"21","Tumour margin",0.128600105
"22","Tumour centre",0.606766435
"23","Tumour centre",0.600034841
"24","Tumour centre",0.576038326
"25","Tumour centre",0.622035678
"34","Tumour margin",0.149691488
"35","Tumour margin",0.056343844
"36","Tumour margin",0.054110908
"37","Tumour margin",0.052980925
"38","Tumour margin",0.150017437
"39","Tumour margin",0.148133196
"40","Tumour margin",0.148685862
"41","Tumour centre",0.046122816
"42","Tumour margin",0.046822262
"43","Tumour centre",0.046825834
"44","Tumour centre",0.046738199
"45","Tumour centre",0.054262204
"46","Tumour margin",0.093562922
"47","Tumour margin",0.093562922
"48","Tumour margin",0.094994691
"49","Tumour margin",0.093562922
"50","Tumour centre",0.093562922
"51","Tumour centre",0.094994691
"52","Tumour margin",0.094994691
"53","Tumour margin",0.102790662
"54","Tumour margin",0.101029424
"55","Tumour margin",0.094994691
"56","Tumour margin",0.094994691
"57","Tumour margin",0.093562922
"58","Tumour margin",0.10334535
"59","Tumour margin",0.050038088
"60","Tumour margin",0.047215721
"61","Tumour margin",0.038384505
"62","Tumour margin",0.041682714
"63","Tumour margin",0.215873848
"64","Tumour margin",0.058948225
"65","Tumour margin",0.03676548
"66","Tumour margin",0.036905552
"67","Tumour margin",0.041027816
"68","Tumour margin",0.038948783
"69","Tumour margin",0.038948783
"70","Tumour margin",0.041027816
"71","Tumour centre",0.040942434
"72","Tumour centre",0.03848502
"73","Tumour margin",0.037065556
"74","Tumour margin",0.036166258
"75","Tumour margin",0.338556465
"76","Tumour margin",0.037067859
"77","Tumour centre",0.419127941
"78","Tumour margin",0.136994373
"79","Tumour centre",0.091912098
"80","Tumour margin",0.047876778
"81","Tumour margin",0.125917373
"82","Tumour centre",0.099832371
"83","Tumour centre",0.366058596
"84","Tumour centre",0.184240414
"85","Tumour centre",0.093331323
"86","Tumour margin",0.767915181
"87","Tumour centre",0.080462827
"88","Tumour centre",0.079102582
"89","Tumour centre",0.374290851
"90","Tumour centre",0.103476365
"91","Tumour margin",0.093331323
"92","Tumour margin",0.079908875
"93","Tumour centre",0.138785869
"94","Tumour centre",0.093331323
"95","Tumour margin",0.139339821
"96","Tumour margin",0.126849331
"97","Tumour margin",0.184240414
"98","Tumour margin",0.091105805
