,ID,ID_brief,Code1,Genomic_distance,Spatial_disabs,Pairs,Pair1,Pair2
1,K059,K059,K059.R10vsR11,1.732050808,25.22249612,R10vsR11,R10,R11
2,K059,K059,K059.R10vsR13,2.236067977,71.55780234,R10vsR13,R10,R13
3,K059,K059,K059.R10vsR2,1,66.26705692,R10vsR2,R10,R2
4,K059,K059,K059.R10vsR3,1,56.08199979,R10vsR3,R10,R3
5,K059,K059,K059.R10vsR4,1.414213562,62.61648539,R10vsR4,R10,R4
6,K059,K059,K059.R10vsR5,1,86.13468422,R10vsR5,R10,R5
7,K059,K059,K059.R10vsR6,1,60.02120868,R10vsR6,R10,R6
8,K059,K059,K059.R10vsR8,1,75.12249326,R10vsR8,R10,R8
9,K059,K059,K059.R10vsR9,1.414213562,44.44620608,R10vsR9,R10,R9
10,K059,K059,K059.R11vsR13,2.449489743,48.84513745,R11vsR13,R11,R13
11,K059,K059,K059.R11vsR2,1.414213562,70.30907514,R11vsR2,R11,R2
12,K059,K059,K059.R11vsR3,1.414213562,69.76842318,R11vsR3,R11,R3
13,K059,K059,K059.R11vsR4,1.732050808,81.15487414,R11vsR4,R11,R4
14,K059,K059,K059.R11vsR5,1.414213562,110.3811007,R11vsR5,R11,R5
15,K059,K059,K059.R11vsR6,1.414213562,82.60644829,R11vsR6,R11,R6
16,K059,K059,K059.R11vsR8,1.414213562,100.3110277,R11vsR8,R11,R8
17,K059,K059,K059.R11vsR9,1.732050808,67.70066646,R11vsR9,R11,R9
18,K059,K059,K059.R13vsR2,2,76.79375218,R13vsR2,R13,R2
19,K059,K059,K059.R13vsR3,2,92.15407708,R13vsR3,R13,R3
20,K059,K059,K059.R13vsR4,2.236067977,109.3627645,R13vsR4,R13,R4
21,K059,K059,K059.R13vsR5,2,148.6716261,R13vsR5,R13,R5
22,K059,K059,K059.R13vsR6,2,118.2032627,R13vsR6,R13,R6
23,K059,K059,K059.R13vsR8,2,144.9693381,R13vsR8,R13,R8
24,K059,K059,K059.R13vsR9,2.236067977,115.7713433,R13vsR9,R13,R9
25,K059,K059,K059.R2vsR3,0,27.34019681,R2vsR3,R2,R3
26,K059,K059,K059.R2vsR4,1,45.69804626,R2vsR4,R2,R4
27,K059,K059,K059.R2vsR5,0,92.33961817,R2vsR5,R2,R5
28,K059,K059,K059.R2vsR6,0,63.44122301,R2vsR6,R2,R6
29,K059,K059,K059.R2vsR8,0,104.3142782,R2vsR8,R2,R8
30,K059,K059,K059.R2vsR9,1,96.43899674,R2vsR9,R2,R9
31,K059,K059,K059.R3vsR4,1,19.07204417,R3vsR4,R3,R4
32,K059,K059,K059.R3vsR5,0,65.26260263,R3vsR5,R3,R5
33,K059,K059,K059.R3vsR6,0,36.11846543,R3vsR6,R3,R6
34,K059,K059,K059.R3vsR8,0,77.6237067,R3vsR8,R3,R8
35,K059,K059,K059.R3vsR9,1,75.02381196,R3vsR9,R3,R9
36,K059,K059,K059.R4vsR5,1,46.6817443,R4vsR5,R4,R5
37,K059,K059,K059.R4vsR6,1,20.04306886,R4vsR6,R4,R6
38,K059,K059,K059.R4vsR8,1,62.95849897,R4vsR8,R4,R8
39,K059,K059,K059.R4vsR9,1.414213562,69.15550716,R4vsR9,R4,R9
40,K059,K059,K059.R5vsR6,0,30.91305825,R5vsR6,R5,R6
41,K059,K059,K059.R5vsR8,0,32.09035986,R5vsR8,R5,R8
42,K059,K059,K059.R5vsR9,1,64.28537366,R5vsR9,R5,R9
43,K059,K059,K059.R6vsR8,0,42.91553767,R6vsR8,R6,R8
44,K059,K059,K059.R6vsR9,1,53.79767208,R6vsR9,R6,R9
45,K059,K059,K059.R8vsR9,1,39.57573212,R8vsR9,R8,R9
46,K065,K065,K065.R1vsR2,0,14.13664888,R1vsR2,R1,R2
47,K065,K065,K065.R1vsR3,0,22.29631233,R1vsR3,R1,R3
48,K065,K065,K065.R1vsR4,0,25.97334889,R1vsR4,R1,R4
49,K065,K065,K065.R1vsR5,0,34.55514347,R1vsR5,R1,R5
50,K065,K065,K065.R1vsR6,0,31.60938253,R1vsR6,R1,R6
51,K065,K065,K065.R1vsR7,0,29.0761971,R1vsR7,R1,R7
52,K065,K065,K065.R1vsR8,0,29.35318563,R1vsR8,R1,R8
53,K065,K065,K065.R2vsR3,0,9.321084195,R2vsR3,R2,R3
54,K065,K065,K065.R2vsR4,0,14.73848587,R2vsR4,R2,R4
55,K065,K065,K065.R2vsR5,0,21.10909699,R2vsR5,R2,R5
56,K065,K065,K065.R2vsR6,0,24.86302124,R2vsR6,R2,R6
57,K065,K065,K065.R2vsR7,0,24.40067322,R2vsR7,R2,R7
58,K065,K065,K065.R2vsR8,0,35.81182522,R2vsR8,R2,R8
59,K065,K065,K065.R3vsR4,0,6.201871255,R3vsR4,R3,R4
60,K065,K065,K065.R3vsR5,0,12.26304859,R3vsR5,R3,R5
61,K065,K065,K065.R3vsR6,0,18.43949875,R3vsR6,R3,R6
62,K065,K065,K065.R3vsR7,0,19.56174216,R3vsR7,R3,R7
63,K065,K065,K065.R3vsR8,0,37.12821546,R3vsR8,R3,R8
64,K065,K065,K065.R4vsR5,0,10.80343498,R4vsR5,R4,R5
65,K065,K065,K065.R4vsR6,0,12.72720603,R4vsR6,R4,R6
66,K065,K065,K065.R4vsR7,0,14.70853872,R4vsR7,R4,R7
67,K065,K065,K065.R4vsR8,0,35.27114009,R4vsR8,R4,R8
68,K065,K065,K065.R5vsR6,0,20.39148098,R5vsR6,R5,R6
69,K065,K065,K065.R5vsR7,0,23.82402227,R5vsR7,R5,R7
70,K065,K065,K065.R5vsR8,0,45.93260625,R5vsR8,R5,R8
71,K065,K065,K065.R6vsR7,0,4.642146865,R6vsR7,R6,R7
72,K065,K065,K065.R6vsR8,0,28.68063338,R6vsR8,R6,R8
73,K065,K065,K065.R7vsR8,0,24.05710237,R7vsR8,R7,R8
74,K105,K105,K105.R1vsR2,1,27.38609916,R1vsR2,R1,R2
75,K105,K105,K105.R1vsR3,0,27.23924738,R1vsR3,R1,R3
76,K105,K105,K105.R2vsR3,1,36.08094482,R2vsR3,R2,R3
77,K107,K107,K107.R6vsR7,1,36.39574779,R6vsR7,R6,R7
78,K107,K107,K107.R6vsR8,1.732050808,63.14570963,R6vsR8,R6,R8
79,K107,K107,K107.R6vsR9,1.414213562,36.81094203,R6vsR9,R6,R9
80,K107,K107,K107.R7vsR8,1.414213562,31.78731351,R7vsR8,R7,R8
81,K107,K107,K107.R7vsR9,1,43.5245037,R7vsR9,R7,R9
82,K107,K107,K107.R8vsR9,1.732050808,50.00981591,R8vsR9,R8,R9
83,K110,K110,K110.R10vsR1,0,93.12666601,R10vsR1,R10,R1
84,K110,K110,K110.R10vsR2,0,103.6634833,R10vsR2,R10,R2
85,K110,K110,K110.R10vsR3,0,128.7949652,R10vsR3,R10,R3
86,K110,K110,K110.R10vsR4,0,124.8484466,R10vsR4,R10,R4
87,K110,K110,K110.R10vsR5,0,100.1448476,R10vsR5,R10,R5
88,K110,K110,K110.R10vsR7,0,28.73204247,R10vsR7,R10,R7
89,K110,K110,K110.R10vsR9,0,42.8362684,R10vsR9,R10,R9
90,K110,K110,K110.R1vsR2,0,29.41479508,R1vsR2,R1,R2
91,K110,K110,K110.R1vsR3,0,64.08288604,R1vsR3,R1,R3
92,K110,K110,K110.R1vsR4,0,80.25369402,R1vsR4,R1,R4
93,K110,K110,K110.R1vsR5,0,93.44607159,R1vsR5,R1,R5
94,K110,K110,K110.R1vsR7,0,79.12052233,R1vsR7,R1,R7
95,K110,K110,K110.R1vsR9,0,58.16745128,R1vsR9,R1,R9
96,K110,K110,K110.R2vsR3,0,34.95188953,R2vsR3,R2,R3
97,K110,K110,K110.R2vsR4,0,51.67354241,R2vsR4,R2,R4
98,K110,K110,K110.R2vsR5,0,72.4878087,R2vsR5,R2,R5
99,K110,K110,K110.R2vsR7,0,82.43429802,R2vsR7,R2,R7
100,K110,K110,K110.R2vsR9,0,77.89310172,R2vsR9,R2,R9
101,K110,K110,K110.R3vsR4,0,26.46015297,R3vsR4,R3,R4
102,K110,K110,K110.R3vsR5,0,64.63526506,R3vsR5,R3,R5
103,K110,K110,K110.R3vsR7,0,103.3731426,R3vsR7,R3,R7
104,K110,K110,K110.R3vsR9,0,109.8958634,R3vsR9,R3,R9
105,K110,K110,K110.R4vsR5,0,42.37690816,R4vsR5,R4,R5
106,K110,K110,K110.R4vsR7,0,97.03770132,R4vsR7,R4,R7
107,K110,K110,K110.R4vsR9,0,114.879444,R4vsR9,R4,R9
108,K110,K110,K110.R5vsR7,0,71.5614447,R5vsR7,R5,R7
109,K110,K110,K110.R5vsR9,0,105.0425236,R5vsR9,R5,R9
110,K110,K110,K110.R7vsR9,0,47.04107797,R7vsR9,R7,R9
