"Sim.ID","Region","Dist.to.Margin","Necrotic.Fraction","Location","Num.Driver","Num.Driver.SCNA"
"137180","R1",8.94,0,"At.Margin",6,3
"137180","R2",12.37,0.35,"At.Centre",9,6
"137180","R3",6.71,0,"At.Margin",9,5
"137180","R4",11.66,0.1,"At.Centre",8,3
"137180","R5",25.94,0.71,"At.Centre",6,3
"137180","R6",32.14,0.51,"At.Centre",8,6
"137180","R7",21.93,0.56,"At.Centre",12,6
"137180","R8",4.12,0,"At.Margin",6,3
"137180","R9",21.84,0.58,"At.Centre",6,3
"137180","R10",39.4,0.47,"At.Centre",8,4
"137180","R11",43.93,0.56,"At.Centre",25,14
"137180","R13",8.06,0.08,"At.Margin",3,1
"137180","R14",20.88,0.56,"At.Centre",6,3
"137180","R15",39.92,0.52,"At.Centre",9,5
"137180","R16",36.77,0.51,"At.Centre",25,13
"137180","R18",24.35,0.85,"At.Centre",5,2
"137180","R19",6,0,"At.Margin",4,2
"137180","R20",12.21,0.14,"At.Centre",6,4
"137180","R21",26.4,0.49,"At.Centre",8,4
"137180","R22",26.68,0.58,"At.Centre",8,4
"137180","R23",8.49,0.03,"At.Margin",3,1
"137180","R24",10.2,0,"At.Centre",5,3
"137180","R25",9.22,0,"At.Margin",8,4
"137180","R26",10,0.03,"At.Margin",9,5
"137184","R1",13.42,0.16,"At.Centre",6,3
"137184","R2",8.94,0.01,"At.Margin",6,3
"137184","R3",15.81,0.41,"At.Centre",7,2
"137184","R4",31.62,0.59,"At.Centre",7,4
"137184","R5",25.06,0.92,"At.Centre",4,2
"137184","R6",18.97,0.95,"At.Centre",2,1
"137184","R7",3.61,0,"At.Margin",3,1
"137184","R8",21.84,0.51,"At.Centre",9,4
"137184","R9",41.23,0.48,"At.Centre",9,5
"137184","R10",43.66,0.44,"At.Centre",26,14
"137184","R11",28.28,0.96,"At.Centre",4,2
"137184","R12",8.94,0.01,"At.Margin",2,1
"137184","R13",17.09,0.41,"At.Centre",7,4
"137184","R14",35.38,0.48,"At.Centre",8,5
"137184","R15",48.84,0.48,"At.Centre",18,11
"137184","R16",36.62,0.51,"At.Centre",5,3
"137184","R17",20,0.56,"At.Centre",4,2
"137184","R18",7.21,0.01,"At.Margin",7,4
"137184","R19",22.02,0.52,"At.Centre",4,2
"137184","R20",29.41,0.51,"At.Centre",9,6
"137184","R21",23.77,0.54,"At.Centre",6,2
"137184","R22",11.4,0.1,"At.Centre",5,2
"137184","R23",5.39,0,"At.Margin",7,4
"137184","R24",10,0,"At.Margin",8,2
"137184","R25",5.1,0,"At.Margin",9,4
"137185","R1",6.32,0,"At.Margin",8,4
"137185","R2",8.25,0,"At.Margin",6,2
"137185","R3",5.66,0,"At.Margin",8,5
"137185","R4",20.25,0.56,"At.Centre",9,4
"137185","R5",25,0.67,"At.Centre",6,3
"137185","R6",26.08,0.73,"At.Centre",8,2
"137185","R7",12.04,0.05,"At.Centre",10,5
"137185","R8",13.6,0.2,"At.Centre",8,4
"137185","R9",32.76,0.43,"At.Centre",12,8
"137185","R12",20.25,0.73,"At.Centre",3,1
"137185","R13",5.39,0,"At.Margin",6,4
"137185","R14",10.44,0.03,"At.Centre",7,4
